sateid,date,x,y,z,pro,clk
C12,2020-06-20-00-45-00,-1132714.245,27675171.792,-3487851.258,23548077.8287,0.000406159
C13,2020-06-20-00-45-00,-11981519.797,31307933.623,-25657845.295,40098230.7035,0.000499756
C16,2020-06-20-00-45-00,-7392403.183,37474419.962,-17566241.85,39074682.7276,-0.000614061
C24,2020-06-20-00-45-00,6111746.044,14969684.516,22742711.657,23706565.7197,-0.000787221
C26,2020-06-20-00-45-00,-12637479.635,18583030.531,16559483.515,21453050.3288,0.000724539
C29,2020-06-20-00-45-00,-14686532.939,-8243882.228,22240997.539,26218354.6804,0.000244816
G01,2020-06-20-00-45-00,-12751789.183,20915594.018,-10052741.353,23212166.2276,1.26351E-05
G04,2020-06-20-00-45-00,-1327526.279,24993772.747,-8826755.987,23389181.1176,-0.00010463
G07,2020-06-20-00-45-00,4140038.438,16244504.7,20804786.203,21927810.8757,-0.000308439
G08,2020-06-20-00-45-00,-8356228.092,17540795.678,18001624.492,20323476.1028,-3.81467E-05
G09,2020-06-20-00-45-00,7804306.201,25294177.47,2024156.975,22760573.7506,-0.000239374
G11,2020-06-20-00-45-00,-11946717.139,23464231.675,4116804.975,20929979.3057,-0.000243936
G16,2020-06-20-00-45-00,-21854256.07,2101610.1,15042718.992,23103117.3056,-0.000172575
G26,2020-06-20-00-45-00,-26090144.852,-4290264.678,3540552.405,25493746.1025,0.000228543
G27,2020-06-20-00-45-00,-13574972.447,6345742.809,21757266.552,21846348.4617,-0.000324997
G30,2020-06-20-00-45-00,13878178.681,8396386.413,21103704.299,24413287.4455,-0.000245268
C01,2020-06-20-00-50-00,-34349512.269,24482944.027,584775.904,37734563.4616,-0.00040235
C02,2020-06-20-00-50-00,4412237.023,41902675.412,-1391818.52,37701238.5166,0.000270909
C03,2020-06-20-00-50-00,-14705173.092,39487121.489,-585608.769,36593303.1097,0.000855605
C04,2020-06-20-00-50-00,-39582325.486,14507669.213,352481.212,38647339.3916,-0.0001561
C05,2020-06-20-00-50-00,21917683.777,35987057.619,-1097568.566,39694390.7665,-0.000487208
C06,2020-06-20-00-50-00,-9426223.951,35531005.785,-19859154.547,38702812.2426,0.000758512
C07,2020-06-20-00-50-00,-14661304.09,22589697.925,32579809.778,36384519.3527,3.25776E-05
C08,2020-06-20-00-50-00,-25104424.158,31201124.04,-13637855.01,38715229.5556,-0.000322265
C09,2020-06-20-00-50-00,841285.695,41642438.986,-4664704.544,37419894.7816,0.000621574
C10,2020-06-20-00-50-00,2664438.754,27428385.586,32175588.057,37032788.6887,-0.00025784
C12,2020-06-20-00-50-00,-1156651.192,27777330.866,-2549282.735,23397146.5557,0.000406162
C13,2020-06-20-00-50-00,-12023186.224,31729346.439,-25120330.616,40003719.2115,0.000499762
C16,2020-06-20-00-50-00,-7093318.825,37222286.615,-18213486.791,39178011.0636,-0.000614059
C24,2020-06-20-00-50-00,5396026.958,15279193.292,22718350.722,23574407.0397,-0.000787218
C26,2020-06-20-00-50-00,-13155574.054,18789118.054,15911647.807,21447874.4698,0.000724543
C29,2020-06-20-00-50-00,-14613433.72,-8999130.093,21995222.834,26398113.3285,0.000244818
G01,2020-06-20-00-50-00,-13057804.178,21114296.281,-9177484.719,23004429.8596,1.26375E-05
G04,2020-06-20-00-50-00,-1477402.309,24663941.627,-9688359.484,23563223.0706,-0.000104631
G07,2020-06-20-00-50-00,3553814.431,16745351.592,20494799.318,21778924.3677,-0.000308442
G08,2020-06-20-00-50-00,-8577332.705,16877680.662,18531658.037,20384935.6028,-3.81469E-05
G09,2020-06-20-00-50-00,7729600.495,25376699.901,1079470.108,22870620.2346,-0.000239376
G11,2020-06-20-00-50-00,-11996452.011,23243694.13,5008616.866,20816175.6487,-0.000243933
G16,2020-06-20-00-50-00,-22364339.115,1855437.421,14331671.252,23220198.2426,-0.000172576
G27,2020-06-20-00-50-00,-13786596.318,5532207.25,21855233.68,22005475.8677,-0.000325
G30,2020-06-20-00-50-00,13287288.345,8943992.823,21252309.825,24219531.9385,-0.000245271
C01,2020-06-20-00-55-00,-34348819.688,24483521.028,574971.954,37734956.2426,-0.000402339
C02,2020-06-20-00-55-00,4411496.805,41903034.403,-1385081.894,37700638.1256,0.000270901
C03,2020-06-20-00-55-00,-14705947.636,39486535.701,-564798.79,36590874.1097,0.000855601
C04,2020-06-20-00-55-00,-39582019.626,14507301.086,363491.201,38646134.1956,-0.000156093
C05,2020-06-20-00-55-00,21916854.106,35987455.354,-1095763.027,39694003.6095,-0.000487229
C06,2020-06-20-00-55-00,-9169411.9,35251023.989,-20463441.129,38800785.5006,0.000758515
C07,2020-06-20-00-55-00,-15002204.312,22552131.873,32441637.622,36372756.2667,3.25681E-05
C08,2020-06-20-00-55-00,-24956835.566,31633092.679,-12902658.694,38609648.6956,-0.000322272
C09,2020-06-20-00-55-00,1204709.021,41539169.358,-5410297.672,37514933.9846,0.000621582
C10,2020-06-20-00-55-00,2367882.327,27252365.021,32342035.735,37018704.4147,-0.000257837
C12,2020-06-20-00-55-00,-1175455.078,27847917.952,-1606510.703,23251896.0007,0.000406166
C13,2020-06-20-00-55-00,-12046401.602,32152236.818,-24570839.187,39908864.9776,0.000499768
C16,2020-06-20-00-55-00,-6805522.74,36957156.528,-18851938.442,39281410.2666,-0.000614056
C24,2020-06-20-00-55-00,4687816.665,15601948.493,22656489.38,23444581.9537,-0.000787215
