sateid,date,pro,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
C16,2020-06-20-21-00-00,36090806.48,0,8,0,6,4,8,4,8
C19,2020-06-20-21-00-00,23424491.05,4,4,9,1,0,4,7,7
C22,2020-06-20-21-00-00,23532924.14,2,9,2,4,1,4,1,7
C27,2020-06-20-21-00-00,24572520.55,2,5,2,0,5,4,7,7
C30,2020-06-20-21-00-00,23895623.98,5,6,2,3,9,8,4,7
G03,2020-06-20-21-00-00,23156505.54,6,5,0,5,5,3,9,6
G04,2020-06-20-21-00-00,23169484.48,9,4,8,4,4,7,7,6
G14,2020-06-20-21-00-00,21486328.99,6,3,2,8,9,9,2,7
G16,2020-06-20-21-00-00,20591915.34,1,9,1,5,3,3,6,8
G22,2020-06-20-21-00-00,23717910.74,7,9,1,0,7,4,2,6
G26,2020-06-20-21-00-00,20292613.27,2,6,1,3,2,6,6,8
G27,2020-06-20-21-00-00,23393410.11,3,4,1,0,1,0,9,6
G29,2020-06-20-21-00-00,24276471.27,6,4,7,1,2,6,6,5
G31,2020-06-20-21-00-00,21629009.56,9,0,0,9,5,5,5,7
G32,2020-06-20-21-00-00,23211575.2,1,5,7,5,2,0,3,7
C01,2020-06-20-21-05-00,37732996.9,2,9,9,6,8,9,8,6
C02,2020-06-20-21-05-00,37671309.77,1,3,0,9,7,6,6,6
C03,2020-06-20-21-05-00,36673041.54,3,0,4,1,5,3,9,6
C04,2020-06-20-21-05-00,38711172.16,1,1,7,2,1,6,4,6
C06,2020-06-20-21-05-00,35785154.2,5,1,5,4,1,9,5,7
C07,2020-06-20-21-05-00,36189626.28,9,6,2,6,2,8,1,7
C09,2020-06-20-21-05-00,35706491.16,6,4,9,1,1,6,4,7
C10,2020-06-20-21-05-00,37128475.82,8,4,7,5,8,2,0,7
C16,2020-06-20-21-05-00,36106260.84,6,2,6,0,8,4,4,8
C19,2020-06-20-21-05-00,23576994.93,6,9,9,4,9,3,0,7
C22,2020-06-20-21-05-00,23542138.43,2,1,3,8,4,3,0,7
C27,2020-06-20-21-05-00,24574654.97,4,6,5,4,9,6,9,6
C30,2020-06-20-21-05-00,23766788.78,6,7,8,8,7,8,1,7
G03,2020-06-20-21-05-00,23231669.89,1,6,6,9,8,9,1,6
G04,2020-06-20-21-05-00,22993094.72,3,0,9,4,7,1,9,6
G14,2020-06-20-21-05-00,21618740.52,8,7,4,0,5,1,6,7
G16,2020-06-20-21-05-00,20519138.11,9,1,3,8,1,0,9,8
G22,2020-06-20-21-05-00,23827132.21,7,1,3,2,2,1,1,6
G26,2020-06-20-21-05-00,20354281.73,4,2,8,1,7,2,7,8
G27,2020-06-20-21-05-00,23181807.51,1,8,0,7,5,0,8,6
G29,2020-06-20-21-05-00,24414084.66,4,0,8,4,6,5,6,6
G31,2020-06-20-21-05-00,21697976.43,7,9,7,6,4,3,0,7
G32,2020-06-20-21-05-00,23405458.2,5,4,5,8,1,9,5,6
C01,2020-06-20-21-10-00,37732685.48,2,6,8,5,4,8,4,6
C02,2020-06-20-21-10-00,37673112.68,3,1,1,2,6,8,0,6
C03,2020-06-20-21-10-00,36672187.99,2,1,8,7,9,9,2,6
C04,2020-06-20-21-10-00,38709755.52,9,7,5,5,5,1,6,6
C06,2020-06-20-21-10-00,35800970.09,0,9,7,0,0,8,6,7
C07,2020-06-20-21-10-00,36195885.33,5,8,8,5,3,2,8,7
C09,2020-06-20-21-10-00,35689452.81,9,4,5,2,8,1,3,7
C10,2020-06-20-21-10-00,37118991.41,8,9,9,1,4,0,6,7
C16,2020-06-20-21-10-00,36124179.46,4,1,7,9,4,6,1,8
C19,2020-06-20-21-10-00,23733490.06,3,4,9,0,0,6,3,7
C22,2020-06-20-21-10-00,23560566.54,0,5,6,6,5,3,9,7
C27,2020-06-20-21-10-00,24585682.12,5,6,8,2,1,1,7,6
C30,2020-06-20-21-10-00,23642925.01,2,9,2,5,0,0,8,7
G03,2020-06-20-21-10-00,23314467.86,4,4,6,7,8,5,9,6
G04,2020-06-20-21-10-00,22820854.62,0,8,5,4,6,1,7,6
G14,2020-06-20-21-10-00,21758845.44,8,8,4,5,4,3,8,7
G16,2020-06-20-21-10-00,20455525.53,5,5,2,5,5,3,1,7
G22,2020-06-20-21-10-00,23940033.73,0,0,3,3,7,2,7,6
G26,2020-06-20-21-10-00,20422382.41,2,3,8,2,4,1,4,8
G27,2020-06-20-21-10-00,22972667.53,2,6,6,7,5,3,1,6
G29,2020-06-20-21-10-00,24559433.13,9,4,3,3,1,3,3,5
G31,2020-06-20-21-10-00,21769524.03,9,5,2,4,0,3,1,7
G32,2020-06-20-21-10-00,23603290.85,3,2,9,0,8,5,2,6
C01,2020-06-20-21-15-00,37732388.26,2,3,8,8,2,5,8,6
C02,2020-06-20-21-15-00,37674874.23,4,8,7,4,2,2,7,6
C03,2020-06-20-21-15-00,36671281.53,1,2,8,1,5,3,1,6
C04,2020-06-20-21-15-00,38708325.74,8,3,2,5,7,4,2,5
C05,2020-06-20-21-15-00,39676430.52,6,4,3,0,5,2,3,5
C06,2020-06-20-21-15-00,35819267.2,9,2,6,7,2,0,3,7
C07,2020-06-20-21-15-00,36203007.7,3,0,0,7,6,9,5,7
C09,2020-06-20-21-15-00,35674331.93,4,3,3,1,9,3,0,7
C10,2020-06-20-21-15-00,37110805.68,0,8,0,5,6,8,0,7
C16,2020-06-20-21-15-00,36144610.73,4,6,1,0,7,2,7,8
C19,2020-06-20-21-15-00,23893499.37,3,4,9,9,3,6,7,7
C21,2020-06-20-21-15-00,26114239.2,4,2,3,9,1,9,5,5
C22,2020-06-20-21-15-00,23588076.62,8,0,7,6,6,1,7,7
C27,2020-06-20-21-15-00,24605669.47,5,6,6,9,4,6,9,7
C29,2020-06-20-21-15-00,25770011.02,0,0,1,1,0,1,6,5
C30,2020-06-20-21-15-00,23524498.89,4,4,9,8,8,9,1,7
G03,2020-06-20-21-15-00,23404423.8,4,4,2,3,7,9,7,6
G04,2020-06-20-21-15-00,22653258.48,3,2,5,8,4,8,4,6
G14,2020-06-20-21-15-00,21906377.23,6,3,7,7,2,2,7,7
G16,2020-06-20-21-15-00,20401025.96,1,0,2,5,9,6,1,7
G22,2020-06-20-21-15-00,24056090.98,6,0,9,0,9,8,4,6
G26,2020-06-20-21-15-00,20496549.68,6,5,4,9,6,8,0,8
G27,2020-06-20-21-15-00,22766595.39,6,5,9,5,3,9,1,7
G29,2020-06-20-21-15-00,24712075.25,2,0,7,5,2,5,0,4
G31,2020-06-20-21-15-00,21843720.47,3,7,2,0,4,6,9,7
G32,2020-06-20-21-15-00,23804664.17,4,6,6,4,1,7,2,6
C01,2020-06-20-21-20-00,37732104.47,2,1,0,4,4,6,9,6
C02,2020-06-20-21-20-00,37676592.38,6,5,9,2,3,7,5,6
C03,2020-06-20-21-20-00,36670323.71,0,3,2,3,7,1,1,6
C04,2020-06-20-21-20-00,38706885.14,6,8,8,5,1,4,1,6
C05,2020-06-20-21-20-00,39677600.28,7,6,0,0,2,8,1,5
C06,2020-06-20-21-20-00,35840086.23,0,0,8,6,2,3,4,7
C07,2020-06-20-21-20-00,36210914.3,0,9,1,4,2,9,7,7
C09,2020-06-20-21-20-00,35661219,1,2,1,9,0,0,0,7
C10,2020-06-20-21-20-00,37103855.91,3,8,5,5,9,1,4,7
C16,2020-06-20-21-20-00,36167598.23,7,5,9,8,2,3,4,7
C19,2020-06-20-21-20-00,24056543.68,6,5,4,3,6,8,0,7
C21,2020-06-20-21-20-00,26009112.89,9,1,1,2,8,9,1,5
C22,2020-06-20-21-20-00,23624499.65,4,4,9,9,6,4,8,7
C27,2020-06-20-21-20-00,24634644.5,4,6,4,4,5,0,0,6
C29,2020-06-20-21-20-00,25590815.97,0,8,1,5,9,6,9,5
C30,2020-06-20-21-20-00,23411967.59,1,9,6,7,5,8,6,7
G03,2020-06-20-21-20-00,23501038.98,1,0,3,8,9,7,7,6
G04,2020-06-20-21-20-00,22490807.19,0,8,0,7,1,8,8,6
G14,2020-06-20-21-20-00,22061040.52,1,0,4,0,5,1,6,7
G16,2020-06-20-21-20-00,20355553.24,5,5,5,3,2,4,2,7
G22,2020-06-20-21-20-00,24174777.53,4,7,7,7,5,3,1,6
G26,2020-06-20-21-20-00,20576414.38,6,4,1,4,3,8,3,8
G27,2020-06-20-21-20-00,22564202.98,4,2,0,2,9,7,7,7
G31,2020-06-20-21-20-00,21920638.54,0,6,3,8,5,3,9,7
G32,2020-06-20-21-20-00,24009163.41,9,1,6,3,4,1,4,6
C01,2020-06-20-21-25-00,37731835.23,1,8,3,5,2,3,4,6
C02,2020-06-20-21-25-00,37678266.77,8,2,6,6,7,7,3,6
C03,2020-06-20-21-25-00,36669314.02,9,3,1,4,0,2,3,6
C04,2020-06-20-21-25-00,38705432.31,5,4,3,2,3,0,5,5
C06,2020-06-20-21-25-00,35863462.52,3,4,6,2,5,2,3,7
C07,2020-06-20-21-25-00,36219525.86,9,5,2,5,8,5,9,7
C09,2020-06-20-21-25-00,35650199.53,0,1,9,9,5,3,1,7
C10,2020-06-20-21-25-00,37098075.51,8,0,7,5,5,0,8,7
C16,2020-06-20-21-25-00,36193181.6,3,1,8,1,6,0,2,7
C19,2020-06-20-21-25-00,24222141.05,2,1,4,1,0,4,7,7
C21,2020-06-20-21-25-00,25911395.11,1,3,9,5,1,0,9,4
C22,2020-06-20-21-25-00,23669632.62,9,6,3,2,6,1,7,7
C27,2020-06-20-21-25-00,24672602.25,2,6,0,2,2,5,0,6
C29,2020-06-20-21-25-00,25410403.21,0,4,0,3,2,1,1,6
C30,2020-06-20-21-25-00,23305769.49,5,7,6,9,4,9,2,7
G03,2020-06-20-21-25-00,23603793.22,3,7,9,3,2,1,9,6
G04,2020-06-20-21-25-00,22334004.06,4,0,0,4,0,6,3,7
G14,2020-06-20-21-25-00,22222513.49,2,5,1,3,4,9,2,7
G16,2020-06-20-21-25-00,20318989.4,8,9,8,9,3,9,8,7
G21,2020-06-20-21-25-00,24895213.92,5,2,1,3,9,2,2,5
G22,2020-06-20-21-25-00,24295567.28,5,5,6,7,2,8,1,6
G26,2020-06-20-21-25-00,20661608.86,1,6,0,8,8,5,9,8
G27,2020-06-20-21-25-00,22366099.56,6,0,9,9,5,5,5,7
G31,2020-06-20-21-25-00,22000356.43,0,3,5,6,4,3,0,7
G32,2020-06-20-21-25-00,24216363.92,6,3,6,3,9,2,2,6
C01,2020-06-20-21-30-00,37731580.23,1,5,8,0,2,2,7,6
C02,2020-06-20-21-30-00,37679896.88,9,8,9,6,8,8,3,6
C03,2020-06-20-21-30-00,36668253.52,8,2,5,3,5,1,6,6
C04,2020-06-20-21-30-00,38703970.16,3,9,7,0,1,5,6,6
C05,2020-06-20-21-30-00,39679854.07,9,8,5,4,0,7,0,5
C06,2020-06-20-21-30-00,35889427.67,9,4,2,7,6,7,2,7
C07,2020-06-20-21-30-00,36228763.09,8,7,6,3,0,8,6,7
C09,2020-06-20-21-30-00,35641359.03,1,3,5,9,0,3,1,7
C10,2020-06-20-21-30-00,37093398.17,3,3,9,8,1,7,2,7
C16,2020-06-20-21-30-00,36221394.46,1,3,9,4,4,6,1,7
C19,2020-06-20-21-30-00,24389810.87,9,8,1,0,8,6,7,7
C21,2020-06-20-21-30-00,25821340.66,1,3,4,0,6,5,6,6
C22,2020-06-20-21-30-00,23723238.52,3,2,3,8,5,1,6,7
C27,2020-06-20-21-30-00,24719499.2,9,4,9,9,1,9,5,7
C29,2020-06-20-21-30-00,25229202.28,9,2,0,2,2,8,1,6
C30,2020-06-20-21-30-00,23206327.45,6,3,2,7,4,5,3,7
G03,2020-06-20-21-30-00,23712153.03,2,1,5,3,0,3,1,6
G04,2020-06-20-21-30-00,22183348.43,3,3,4,8,4,3,0,7
G14,2020-06-20-21-30-00,22390450.12,0,4,5,0,1,1,7,7
G16,2020-06-20-21-30-00,20291185.03,1,1,8,5,0,3,1,7
G21,2020-06-20-21-30-00,24803563.62,3,5,6,3,6,1,7,5
G22,2020-06-20-21-30-00,24417932.62,7,9,3,2,6,1,7,5
G26,2020-06-20-21-30-00,20751764.17,1,7,6,4,1,7,2,8
G27,2020-06-20-21-30-00,22172897.52,2,8,9,7,5,2,3,7
G31,2020-06-20-21-30-00,22082954.02,2,9,5,4,0,2,3,7
G32,2020-06-20-21-30-00,24425837.09,5,8,3,7,0,9,4,6
C01,2020-06-20-21-35-00,37731340.81,1,3,4,0,8,1,3,6
C02,2020-06-20-21-35-00,37681481.36,1,4,8,1,3,5,9,6
C03,2020-06-20-21-35-00,36667143.58,7,1,4,3,5,7,8,6
C04,2020-06-20-21-35-00,38702499.7,2,4,9,9,6,9,5,5
C05,2020-06-20-21-35-00,39680937.16,0,9,3,7,1,6,4,5
C06,2020-06-20-21-35-00,35918008.97,8,0,0,8,9,6,9,7
C07,2020-06-20-21-35-00,36238547.91,8,5,4,7,9,1,4,7
C09,2020-06-20-21-35-00,35634778.94,4,7,7,8,9,3,8,7
C10,2020-06-20-21-35-00,37089755.41,9,7,5,5,4,1,4,7
C16,2020-06-20-21-35-00,36252267.02,2,2,6,7,0,2,3,8
C19,2020-06-20-21-35-00,24559073.55,9,0,7,3,5,4,7,6
C21,2020-06-20-21-35-00,25739170.09,9,1,7,0,0,8,6,6
C22,2020-06-20-21-35-00,23785048.69,5,0,4,8,6,8,8,7
C27,2020-06-20-21-35-00,24775259.49,5,2,5,9,4,9,2,6
C29,2020-06-20-21-35-00,25047652.61,7,6,5,2,6,0,9,6
C30,2020-06-20-21-35-00,23114044.24,4,0,4,4,2,4,2,7
G03,2020-06-20-21-35-00,23825567.95,5,5,6,7,9,5,3,6
G04,2020-06-20-21-35-00,22039339.1,9,3,3,9,1,0,2,7
G08,2020-06-20-21-35-00,24257357.27,7,3,5,7,2,6,6,5
G14,2020-06-20-21-35-00,22564482.95,4,4,8,2,9,4,5,6
G16,2020-06-20-21-35-00,20271961.94,1,9,6,1,9,3,8,7
G21,2020-06-20-21-35-00,24713406.7,3,4,0,6,6,9,5,5
G22,2020-06-20-21-35-00,24541352.82,1,3,5,2,8,2,0,6
G26,2020-06-20-21-35-00,20846519.81,6,5,1,9,8,1,3,7
G27,2020-06-20-21-35-00,21985204.38,5,2,0,4,3,8,3,7
G31,2020-06-20-21-35-00,22168514.07,8,5,1,4,0,7,0,7
G32,2020-06-20-21-35-00,24637151.52,7,1,5,1,5,2,3,5
C01,2020-06-20-21-40-00,37731114.32,1,1,1,4,3,2,0,6
C02,2020-06-20-21-40-00,37683019.11,3,0,1,9,1,0,9,6
C03,2020-06-20-21-40-00,36665981.69,5,9,8,1,6,8,8,6
C04,2020-06-20-21-40-00,38701020.03,1,0,2,0,0,3,1,6
C05,2020-06-20-21-40-00,39681988.06,1,9,8,8,0,5,5,5
C06,2020-06-20-21-40-00,35949224.45,9,2,2,4,4,4,5,7
C07,2020-06-20-21-40-00,36248799.92,8,7,9,9,9,2,2,7
C09,2020-06-20-21-40-00,35630534.95,0,5,3,4,9,5,3,7
C10,2020-06-20-21-40-00,37087074.45,7,0,7,4,4,4,5,7
C16,2020-06-20-21-40-00,36285821.06,5,8,2,1,0,6,3,7
C19,2020-06-20-21-40-00,24729452.52,9,4,5,2,5,2,3,6
C21,2020-06-20-21-40-00,25665084.92,5,0,8,4,9,2,2,6
C22,2020-06-20-21-40-00,23854762.34,4,7,6,2,3,4,4,7
C27,2020-06-20-21-40-00,24839768.62,9,7,6,8,6,1,7,6
C29,2020-06-20-21-40-00,24866201.8,6,2,0,1,7,9,7,6
C30,2020-06-20-21-40-00,23029298.31,9,2,9,8,3,0,5,7
G03,2020-06-20-21-40-00,23943473.77,3,4,7,3,7,7,3,6
G04,2020-06-20-21-40-00,21902462.59,2,4,6,2,5,8,6,7
G08,2020-06-20-21-40-00,24038849.02,8,8,4,9,0,2,3,6
G14,2020-06-20-21-40-00,22744222.21,4,2,2,2,2,1,1,6
G16,2020-06-20-21-40-00,20261113.26,1,1,1,3,2,5,8,7
G21,2020-06-20-21-40-00,24625250.66,5,2,5,0,6,6,4,5
G22,2020-06-20-21-40-00,24665308.38,5,3,0,8,3,8,3,6
G26,2020-06-20-21-40-00,20945516.38,5,5,1,6,3,8,3,7
G27,2020-06-20-21-40-00,21803617.93,3,6,1,7,9,3,0,7
G31,2020-06-20-21-40-00,22257116.88,7,1,1,6,8,8,3,7
C01,2020-06-20-21-45-00,37730903.78,0,9,0,3,7,8,1,6
C02,2020-06-20-21-45-00,37684510.49,4,5,1,0,4,9,2,6
C03,2020-06-20-21-45-00,36664771.81,4,7,7,1,8,0,5,6
C04,2020-06-20-21-45-00,38699532.27,9,5,3,2,2,6,6,5
C05,2020-06-20-21-45-00,39683007.09,3,0,0,7,0,9,4,5
C06,2020-06-20-21-45-00,35983092.04,3,0,9,2,0,3,9,7
C07,2020-06-20-21-45-00,36259442.27,9,4,4,2,2,6,6,7
C09,2020-06-20-21-45-00,35628703.31,8,7,0,3,3,1,3,7
C10,2020-06-20-21-45-00,37085286.85,5,2,8,6,8,5,2,7
C16,2020-06-20-21-45-00,36322077.81,2,0,7,7,8,0,5,7
C19,2020-06-20-21-45-00,24900478.25,0,4,7,8,2,5,0,6
C21,2020-06-20-21-45-00,25599256.35,9,2,5,6,3,5,2,6
C22,2020-06-20-21-45-00,23932054.77,2,0,5,4,7,7,3,7
C27,2020-06-20-21-45-00,24912885.66,2,8,8,5,6,6,4,6
C29,2020-06-20-21-45-00,24685305.9,5,3,0,5,8,9,8,6
C30,2020-06-20-21-45-00,22952446.12,2,4,4,6,1,1,7,7
G03,2020-06-20-21-45-00,24065306.93,5,3,0,6,9,3,0,5
G04,2020-06-20-21-45-00,21773202.38,3,2,0,2,3,7,5,7
G08,2020-06-20-21-45-00,23821476.03,1,4,7,6,0,3,1,5
G14,2020-06-20-21-45-00,22929263.33,9,2,6,3,3,2,8,6
G16,2020-06-20-21-45-00,20258409.55,8,4,0,9,5,4,7,7
G21,2020-06-20-21-45-00,24539595.81,9,5,9,5,8,0,5,5
G22,2020-06-20-21-45-00,24789294.34,9,2,9,4,3,4,4,6
G26,2020-06-20-21-45-00,21048408.34,8,4,0,8,3,4,4,7
G27,2020-06-20-21-45-00,21628727.27,8,7,2,7,2,7,3,7
G31,2020-06-20-21-45-00,22348844.73,8,8,4,4,7,3,4,7
C01,2020-06-20-21-50-00,37730707.88,0,7,0,7,8,8,3,6
C02,2020-06-20-21-50-00,37685953.58,5,9,5,3,5,7,8,6
C03,2020-06-20-21-50-00,36663512.93,3,5,1,2,9,3,0,6
C04,2020-06-20-21-50-00,38698038.06,8,0,3,8,0,5,5,5
C05,2020-06-20-21-50-00,39683996.56,3,9,9,6,5,5,5,5
C06,2020-06-20-21-50-00,36019621.79,9,6,2,1,7,8,9,7
C07,2020-06-20-21-50-00,36270396.34,0,3,9,6,3,3,6,7
C09,2020-06-20-21-50-00,35629354.16,9,3,5,4,1,5,6,7
C10,2020-06-20-21-50-00,37084319.28,4,3,1,9,2,8,1,7
C16,2020-06-20-21-50-00,36361049.52,1,0,4,9,5,1,6,7
C19,2020-06-20-21-50-00,25071686.52,1,6,8,6,5,1,6,6
C21,2020-06-20-21-50-00,25541820.77,1,8,2,0,7,6,6,6
C22,2020-06-20-21-50-00,24016570.19,6,5,7,0,1,8,8,7
C27,2020-06-20-21-50-00,24994432.02,4,4,3,2,0,2,3,6
C29,2020-06-20-21-50-00,24505424.66,5,4,2,4,6,6,4,6
C30,2020-06-20-21-50-00,22883813.41,3,8,1,3,4,1,4,7
G03,2020-06-20-21-50-00,24190490.14,0,4,9,0,1,4,1,5
G04,2020-06-20-21-50-00,21652021.35,2,0,2,1,3,5,2,7
G08,2020-06-20-21-50-00,23605766.94,5,7,6,6,9,3,8,6
G09,2020-06-20-21-50-00,24539008.34,9,0,0,8,3,3,6,4
G14,2020-06-20-21-50-00,23119185.07,9,1,8,5,0,7,0,6
G16,2020-06-20-21-50-00,20263597.16,3,5,9,7,1,5,6,7
G21,2020-06-20-21-50-00,24456937.64,6,9,3,7,6,4,1,5
G22,2020-06-20-21-50-00,24912807.88,2,8,0,7,8,7,5,4
G26,2020-06-20-21-50-00,21154855.86,4,8,5,5,8,5,9,7
G27,2020-06-20-21-50-00,21461107.93,1,1,0,7,9,3,0,7
G31,2020-06-20-21-50-00,22443777.84,3,7,7,7,8,4,4,7
C01,2020-06-20-21-55-00,37730527.05,0,5,2,7,0,4,7,6
C02,2020-06-20-21-55-00,37687347.02,7,3,4,7,0,1,6,6
C03,2020-06-20-21-55-00,36662205.48,2,2,0,5,4,7,7,6
C04,2020-06-20-21-55-00,38696537.75,6,5,3,7,7,5,0,5
C05,2020-06-20-21-55-00,39684950.45,4,9,5,0,4,5,3,5
C06,2020-06-20-21-55-00,36058817.91,8,8,1,7,9,0,6,7
C07,2020-06-20-21-55-00,36281584.71,1,5,8,4,7,1,1,7
C09,2020-06-20-21-55-00,35632553.34,2,5,5,3,3,4,4,7
C10,2020-06-20-21-55-00,37084096.94,4,0,9,6,9,3,8,7
C16,2020-06-20-21-55-00,36402744.22,2,7,4,4,2,1,9,7
C19,2020-06-20-21-55-00,25242619.27,2,6,1,9,2,6,6,6
C21,2020-06-20-21-55-00,25492887.98,2,8,8,7,9,8,4,6
C22,2020-06-20-21-55-00,24107932.72,7,9,3,2,7,1,9,7
C27,2020-06-20-21-55-00,25084201.68,4,2,0,1,6,8,0,6
C29,2020-06-20-21-55-00,24327026.19,7,0,2,6,1,8,8,6
C30,2020-06-20-21-55-00,22823697.84,3,6,9,7,8,4,4,7
G03,2020-06-20-21-55-00,24318453.04,8,4,5,3,0,3,9,6
G04,2020-06-20-21-55-00,21539368.26,9,3,6,8,2,5,8,7
G08,2020-06-20-21-55-00,23392248.13,2,2,4,8,1,2,5,6
G09,2020-06-20-21-55-00,24352276.93,2,2,7,6,9,3,0,5
G14,2020-06-20-21-55-00,23313548.23,3,5,4,8,2,3,4,6
G16,2020-06-20-21-55-00,20276403.75,6,4,0,3,7,5,0,7
G21,2020-06-20-21-55-00,24377769.27,7,7,6,9,2,7,3,5
G22,2020-06-20-21-55-00,25035355.77,5,3,5,5,7,6,6,5
G26,2020-06-20-21-55-00,21264531.7,4,5,3,1,6,9,5,7
G27,2020-06-20-21-55-00,21301316.56,1,3,1,6,5,5,5,7
G31,2020-06-20-21-55-00,22541990.57,1,9,9,0,5,7,0,7
C01,2020-06-20-22-00-00,37730361.04,0,3,6,1,0,3,9,6
C02,2020-06-20-22-00-00,37688692.06,8,6,9,2,0,6,3,6
C03,2020-06-20-22-00-00,36660850.76,0,8,5,0,7,5,8,6
C04,2020-06-20-22-00-00,38695031.76,5,0,3,1,7,5,8,6
C05,2020-06-20-22-00-00,39685872.91,5,8,7,2,9,1,4,5
C06,2020-06-20-22-00-00,36100681.61,0,6,8,1,6,0,9,7
C07,2020-06-20-22-00-00,36292933.88,2,9,3,3,8,7,5,7
C09,2020-06-20-22-00-00,35638364.1,8,3,6,4,1,0,2,7
C10,2020-06-20-22-00-00,37084547.43,4,5,4,7,4,3,0,7
C16,2020-06-20-22-00-00,36447164.59,7,1,6,4,5,9,4,7
C19,2020-06-20-22-00-00,25412828.73,2,8,2,8,7,2,7,6
C21,2020-06-20-22-00-00,25452534.91,2,5,3,4,9,0,6,6
C22,2020-06-20-22-00-00,24205742.84,5,7,4,2,8,3,6,7
C27,2020-06-20-22-00-00,25181959.95,1,9,5,9,9,5,3,5
C29,2020-06-20-22-00-00,24150580,0,5,8,0,0,0,0,7
C30,2020-06-20-22-00-00,22772366.87,2,3,6,6,8,6,7,7
G03,2020-06-20-22-00-00,24448617.1,8,6,1,7,1,0,2,5
G04,2020-06-20-22-00-00,21435668.25,5,6,6,8,2,5,0,7
G08,2020-06-20-22-00-00,23181454.31,1,4,5,4,3,0,5,6
G09,2020-06-20-22-00-00,24169728.38,9,7,2,8,3,8,3,5
G14,2020-06-20-22-00-00,23511909.17,1,9,0,9,1,7,2,6
G16,2020-06-20-22-00-00,20296540.41,6,5,4,0,4,0,6,8
G18,2020-06-20-22-00-00,25196816.51,6,8,1,6,5,0,8,5
G21,2020-06-20-22-00-00,24302573.48,2,5,7,3,4,8,4,6
G26,2020-06-20-22-00-00,21377123.04,7,1,2,3,0,3,9,7
G27,2020-06-20-22-00-00,21149889.93,9,8,8,9,9,3,0,8
G31,2020-06-20-22-00-00,22643556.2,3,5,5,6,1,9,5,7
C01,2020-06-20-22-05-00,37730209.97,0,2,0,9,9,6,9,6
C02,2020-06-20-22-05-00,37689986.11,9,9,8,6,1,0,9,6
C03,2020-06-20-22-05-00,36659448.07,9,4,4,8,0,7,0,6
C04,2020-06-20-22-05-00,38693520.91,3,5,2,0,9,0,6,6
C05,2020-06-20-22-05-00,39686762.42,6,7,6,2,4,2,2,5
C06,2020-06-20-22-05-00,36145206.38,5,2,0,6,3,7,5,7
C07,2020-06-20-22-05-00,36304369.04,4,3,6,9,0,3,9,7
C09,2020-06-20-22-05-00,35646844.63,6,8,4,4,6,2,5,7
C10,2020-06-20-22-05-00,37085596.98,5,5,9,6,9,7,7,7
C16,2020-06-20-22-05-00,36494307.62,4,3,0,7,6,1,7,7
C19,2020-06-20-22-05-00,25581878.11,1,8,7,8,1,0,9,6
C21,2020-06-20-22-05-00,25420801.9,0,8,0,1,8,9,8,6
C22,2020-06-20-22-05-00,24309582.28,9,5,8,2,2,8,1,7
C27,2020-06-20-22-05-00,25287445.48,7,4,4,5,4,8,4,5
C29,2020-06-20-22-05-00,23976558.41,6,5,5,8,4,1,4,7
C30,2020-06-20-22-05-00,22730052.29,0,0,5,2,2,8,9,7
G03,2020-06-20-22-05-00,24580412.16,0,4,1,2,1,6,4,5
G04,2020-06-20-22-05-00,21341323.93,1,3,2,3,9,3,0,7
G08,2020-06-20-22-05-00,22973918.33,3,9,1,8,3,2,8,6
G09,2020-06-20-22-05-00,23991862.09,1,8,6,2,0,9,4,5
G14,2020-06-20-22-05-00,23713808.53,3,8,0,8,5,3,1,6
G16,2020-06-20-22-05-00,20323703.26,3,7,0,3,2,5,8,7
G18,2020-06-20-22-05-00,25143051.81,3,0,5,1,8,0,5,4
G21,2020-06-20-22-05-00,24231820.79,1,8,2,0,7,8,9,5
G26,2020-06-20-22-05-00,21492328.58,2,3,2,8,5,7,8,7
G27,2020-06-20-22-05-00,21007338.2,7,3,3,8,1,9,5,8
G31,2020-06-20-22-05-00,22748539.73,8,5,3,9,7,3,4,7
C01,2020-06-20-22-10-00,37730075.47,0,0,7,5,4,6,9,6
C02,2020-06-20-22-10-00,37691229.6,1,2,2,9,6,0,2,6
C03,2020-06-20-22-10-00,36658000.81,8,0,0,0,8,0,5,6
C04,2020-06-20-22-10-00,38692007.59,2,0,0,7,5,9,4,5
C05,2020-06-20-22-10-00,39687617.46,7,6,1,7,4,6,1,5
C06,2020-06-20-22-10-00,36192381.38,2,3,8,1,3,7,5,7
C07,2020-06-20-22-10-00,36315817.81,5,8,1,7,8,0,5,7
C09,2020-06-20-22-10-00,35658048.31,8,0,4,8,3,1,3,7
C10,2020-06-20-22-10-00,37087170.58,7,1,7,0,5,7,8,7
C16,2020-06-20-22-10-00,36544165.9,4,1,6,5,8,9,8,7
C19,2020-06-20-22-10-00,25749339.09,9,3,3,9,0,9,4,6
C21,2020-06-20-22-10-00,25397697.97,7,6,9,7,9,6,9,6
C22,2020-06-20-22-10-00,24419016.91,9,0,1,6,9,1,4,7
C27,2020-06-20-22-10-00,25400372.23,0,3,7,2,2,2,7,6
C29,2020-06-20-22-10-00,23805434.45,5,4,3,4,4,4,5,7
C30,2020-06-20-22-10-00,22696952.85,6,9,5,2,8,5,2,7
G03,2020-06-20-22-10-00,24713271.51,3,2,7,1,5,0,8,5
